"Name","CombinedTempDiskAndCachedWriteBytesPerSecond","HyperVGenerations","MemoryGBFlattened","EncryptionAtHostSupported","PremiumIO","Tier","CpuArchitectureType","Size","MaxResourceVolumeMB","MaxDataDiskCount","CombinedTempDiskAndCachedReadBytesPerSecond","CombinedTempDiskAndCachedIOPS","RdmaEnabled","cpuToRamRatio","vCPUsPerCore","ACUs","MaxNetworkInterfaces","vCPUsAvailable","MemoryPreservingMaintenanceSupported","retailPrice","retailPriceFlattened","vCPUs","EphemeralOSDiskSupported","MemoryGB","CapacityReservationSupported","LowPriorityCapable","AcceleratedNetworkingEnabled","VMDeploymentTypes","OSVhdSizeMB"
"Standard_E8-2ds_v4","242221056","V1,V2","6400","True","True","Standard","x64","E8-2ds_v4","307200","16","484442112","77000","False","8","2","195","4","2","True","0.944","9440","8","True","64","True","True","True","IaaS","1047552"
"Standard_E8-2s_v3","134217728","V1,V2","6400","True","True","Standard","x64","E8-2s_v3","131072","16","134217728","16000","False","8","2","160","4","2","True","0.9","9000","8","True","64","True","True","True","IaaS","1047552"
"Standard_E8-2s_v4",,"V1,V2","6400","True","True","Standard","x64","E8-2s_v4","0","16",,,"False","8","2","195","2","2","True","0.872","8720","8","False","64","True","True","True","IaaS","1047552"
"Standard_E8-4as_v4","134217728","V1,V2","6400","True","True","Standard","x64","E8-4as_v4","131072","16","134217728","16000","False","8","2","230","4","4","True","0.872","8720","8","True","64","True","True","True","IaaS,PaaS","1047552"
"Standard_E8-4ds_v4","242221056","V1,V2","6400","True","True","Standard","x64","E8-4ds_v4","307200","16","484442112","77000","False","8","2","195","4","4","True","0.944","9440","8","True","64","True","True","True","IaaS","1047552"
"Standard_E8-4s_v3","134217728","V1,V2","6400","True","True","Standard","x64","E8-4s_v3","131072","16","134217728","16000","False","8","2","160","4","4","True","0.9","9000","8","True","64","True","True","True","IaaS","1047552"
"Standard_E8-4s_v4",,"V1,V2","6400","True","True","Standard","x64","E8-4s_v4","0","16",,,"False","8","2","195","4","4","True","0.872","8720","8","False","64","True","True","True","IaaS","1047552"
"Standard_E8ds_v4","242221056","V1,V2","6400","True","True","Standard","x64","E8ds_v4","307200","16","484442112","77000","False","8","2","195","4","8","True","0.944","9440","8","True","64","True","True","True","IaaS","1047552"
"Standard_E8d_v4","242221056","V1,V2","6400","True","False","Standard","x64","E8d_v4","307200","16","484442112","77000","False","8","2","195","4","8","True","0.944","9440","8","False","64","True","True","True","IaaS","1047552"
"Standard_E8s_v3","134217728","V1,V2","6400","True","True","Standard","x64","E8s_v3","131072","16","134217728","16000","False","8","2","160","4","8","True","0.9","9000","8","True","64","True","True","True","IaaS","1047552"
"Standard_E8s_v4",,"V1,V2","6400","True","True","Standard","x64","E8s_v4","0","16",,,"False","8","2","195","4","8","True","0.872","8720","8","False","64","True","True","True","IaaS","1047552"
"Standard_E8_v3","97517568","V1","6400","False","False","Standard","x64","E8_v3","204800","16","196083712","12000","False","8","2","160","4","8","True","0.9","9000","8","False","64","True","True","True","IaaS,PaaS","1047552"
"Standard_E8_v4",,"V1,V2","6400","False","False","Standard","x64","E8_v4","0","16",,,"False","8","2","195","4","8","True","0.872","8720","8","False","64","True","True","True","IaaS","1047552"
"Standard_E96-24as_v4","1073741824","V1,V2","67200","True","True","Standard","x64","E96-24as_v4","1376256","32","1073741824","192000","False","7","2","230","8","24","True","10.464","104640","96","True","672","True","True","True","IaaS,PaaS","1047552"
"Standard_E96-48as_v4","1073741824","V1,V2","67200","True","True","Standard","x64","E96-48as_v4","1376256","32","1073741824","192000","False","7","2","230","8","48","True","10.464","104640","96","True","672","True","True","True","IaaS,PaaS","1047552"
"Standard_F1","24117248","V1","200","False","False","Standard","x64","F1","16384","4","48234496","3000","False","2","1","210","2","1","True","0.0957","956.9999999999999","1","False","2","False","True","True","IaaS","1047552"
"Standard_F16","393216000","V1","3200","False","False","Standard","x64","F16","262144","64","786432000","48000","False","2","1","210","8","16","True","1.532","15320","16","False","32","False","True","True","IaaS","1047552"
"Standard_F16s","536870912","V1,V2","3200","True","True","Standard","x64","F16s","65536","64","536870912","64000","False","2","1","210","8","16","True","1.532","15320","16","True","32","False","True","True","IaaS","1047552"
"Standard_F16s_v2","267386880","V1,V2","3200","True","True","Standard","x64","F16s_v2","131072","32","267386880","32000","False","2","2","195","4","16","True","1.302","13020","16","True","32","True","True","True","IaaS","1047552"
"Standard_F1s","33554432","V1,V2","200","True","True","Standard","x64","F1s","4096","4","33554432","4000","False","2","1","210","2","1","True","0.0957","956.9999999999999","1","True","2","False","True","True","IaaS","1047552"
"Standard_F2","48234496","V1","400","False","False","Standard","x64","F2","32768","8","97517568","6000","False","2","1","210","2","2","True","0.192","1920","2","False","4","False","True","True","IaaS","1047552"
"Standard_F2s","67108864","V1,V2","400","True","True","Standard","x64","F2s","8192","8","67108864","8000","False","2","1","210","2","2","True","0.192","1920","2","True","4","False","True","True","IaaS","1047552"
"Standard_F2s_v2","32505856","V1,V2","400","True","True","Standard","x64","F2s_v2","16384","4","32505856","4000","False","2","2","195","2","2","True","0.163","1630","2","True","4","True","True","True","IaaS","1047552"
"Standard_F32s_v2","536870912","V1,V2","6400","True","True","Standard","x64","F32s_v2","262144","32","536870912","64000","False","2","2","195","8","32","True","2.604","26040","32","True","64","True","True","True","IaaS","1047552"
"Standard_F4","97517568","V1","800","False","False","Standard","x64","F4","65536","16","196083712","12000","False","2","1","210","4","4","True","0.383","3830","4","False","8","False","True","True","IaaS","1047552"
"Standard_F48s_v2","805306368","V1,V2","9600","True","True","Standard","x64","F48s_v2","393216","32","805306368","96000","False","2","2","195","8","48","True","4.24","42400","48","True","96","True","True","True","IaaS","1047552"
"Standard_F4s","134217728","V1,V2","800","True","True","Standard","x64","F4s","16384","16","134217728","16000","False","2","1","210","4","4","True","0.383","3830","4","True","8","False","True","True","IaaS","1047552"
"Standard_F4s_v2","66060288","V1,V2","800","True","True","Standard","x64","F4s_v2","32768","8","66060288","8000","False","2","2","195","2","4","True","0.326","3260","4","True","8","True","True","True","IaaS","1047552"
"Standard_F64s_v2","1073741824","V1,V2","12800","True","True","Standard","x64","F64s_v2","524288","32","1073741824","128000","False","2","2","195","8","64","True","5.209","52089.99999999999","64","True","128","True","True","True","IaaS","1047552"
"Standard_F72s_v2","1207959552","V1,V2","14400","True","True","Standard","x64","F72s_v2","589824","32","1207959552","144000","False","2","2","195","8","72","True","5.86","58600","72","True","144","True","True","True","IaaS","1047552"
"Standard_F8","196083712","V1","1600","False","False","Standard","x64","F8","131072","32","393216000","24000","False","2","1","210","8","8","True","0.766","7660","8","False","16","False","True","True","IaaS","1047552"
"Standard_F8s","268435456","V1,V2","1600","True","True","Standard","x64","F8s","32768","32","268435456","32000","False","2","1","210","8","8","True","0.766","7660","8","True","16","False","True","True","IaaS","1047552"
"Standard_F8s_v2","133169152","V1,V2","1600","True","True","Standard","x64","F8s_v2","65536","16","133169152","16000","False","2","2","195","4","8","True","0.651","6510","8","True","16","True","True","True","IaaS","1047552"
"Standard_G1","48234496","V1","2800","False","False","Standard","x64","G1","393216","8","97517568","6000","False","14","1","180","2","2","False","0.61","6100","2","False","28","False","True","False","IaaS,PaaS","1047552"
"Standard_G2","97517568","V1","5600","False","False","Standard","x64","G2","786432","16","196083712","12000","False","14","1","180","2","4","False","1.22","12200","4","False","56","False","True","False","IaaS,PaaS","1047552"
"Standard_G3","196083712","V1","11200","False","False","Standard","x64","G3","1572864","32","393216000","24000","False","14","1","180","4","8","False","2.44","24400","8","False","112","False","True","False","IaaS,PaaS","1047552"
"Standard_G4","393216000","V1","22400","False","False","Standard","x64","G4","3145728","64","786432000","48000","False","14","1","180","8","16","False","4.88","48800","16","False","224","False","True","False","IaaS,PaaS","1047552"
